City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,mezen,65.8522,44.24,-3.23,99,100,1.24,RU,1681757676
84,soe,-9.8607,124.284,18.44,94,65,1.01,ID,1681757677
85,si satchanalai,17.5169,99.7598,29.39,41,0,0.12,TH,1681757677
86,qui nhon,13.7667,109.2333,25.04,88,99,2.13,VN,1681757677
87,punta arenas,-53.15,-70.9167,4.06,87,100,5.14,CL,1681757678
88,kabompo,-13.5927,24.2008,16.69,88,88,2.09,ZM,1681757679
89,rabo de peixe,37.8,-25.5833,15.73,72,20,7.2,PT,1681757679
90,platanos,37.6667,21.6167,14.76,87,31,0.21,GR,1681757680
91,kolobrzeg,54.1757,15.5834,3.31,82,22,6.75,PL,1681757680
92,sao francisco,-15.9486,-44.8644,32.94,36,66,0.22,BR,1681757470
93,kapaa,22.0752,-159.319,25.05,85,20,1.54,US,1681757677
94,havre-saint-pierre,50.2334,-63.5986,5.2,70,100,5.66,CA,1681757681
95,leningradskiy,69.3833,178.4167,-18.03,81,2,2.55,RU,1681757681
96,vila franca do campo,37.7167,-25.4333,16.23,65,32,3.8,PT,1681757681
97,eston,51.1501,-108.7514,13.29,26,67,9.14,CA,1681757682
98,cairns,-16.9167,145.7667,24.97,83,40,5.14,AU,1681757682
99,dunedin,-45.8742,170.5036,13.69,69,100,0.6,NZ,1681757682
100,puerto ayora,-0.7393,-90.3518,29.98,85,91,2.24,EC,1681757683
101,jaque,7.5175,-78.1703,27.85,75,35,1.34,PA,1681757683
102,port hardy,50.6996,-127.4199,6.0,87,100,11.32,CA,1681757683
103,severo-kurilsk,50.6789,156.125,0.9,98,100,6.67,RU,1681757683
104,dikson,73.5069,80.5464,-20.33,100,100,1.8,RU,1681757684
105,airai,-8.9266,125.4092,15.17,93,99,0.38,TL,1681757684
106,xuddur,4.1213,43.8894,26.67,67,91,5.53,SO,1681757685
107,palmetto,27.5214,-82.5723,27.25,53,40,5.14,US,1681757685
108,hualmay,-11.0964,-77.6139,24.97,74,100,4.32,PE,1681757685
109,husavik,66.0449,-17.3389,9.2,69,3,8.74,IS,1681757686
110,tuatapere,-46.1333,167.6833,12.24,92,100,0.6,NZ,1681757686
111,chokurdakh,70.6333,147.9167,-22.56,100,100,1.78,RU,1681757686
112,mar del plata,-38.0023,-57.5575,18.3,61,75,4.12,AR,1681757589
113,bowen,-20.0167,148.2333,25.49,72,100,6.17,AU,1681757687
114,arraial do cabo,-22.9661,-42.0278,30.98,66,0,5.66,BR,1681757601
115,hervey bay,-25.2986,152.8535,23.23,71,3,9.8,AU,1681757688
116,kropotkin,45.4375,40.5756,9.67,48,94,8.44,RU,1681757688
117,carutapera,-1.195,-46.02,28.73,74,93,2.68,BR,1681757689
118,saint-philippe,-21.3585,55.7679,24.77,82,100,3.68,RE,1681757689
119,padang,-0.9492,100.3543,26.03,87,88,1.54,ID,1681757690
120,dingle,10.9995,122.6711,25.18,86,26,2.25,PH,1681757690
121,jaguaruna,-28.615,-49.0256,22.38,79,66,5.73,BR,1681757525
122,napanee,44.2501,-76.9494,12.19,62,85,4.34,CA,1681757691
123,iroquois falls,48.7669,-80.6831,8.04,78,100,3.59,CA,1681757691
124,sterling,39.0062,-77.4286,19.75,37,75,6.17,US,1681757241
